Company,Year,Total Liabilities Growth %,Borrowings Growth %,Equity Growth %,Total Assets Growth %,Operating Profit Growth %,Net Profit Growth %,Operating Cash Flow Growth %
sonata,2018,40.43,,4.97,10.35,3.73,13.5,53.07
sonata,2019,5.23,,8.49,7.86,41.75,13.98,-75.08
sonata,2020,125.47,,-29.99,-0.7,-17.7,22.52,657.62
sonata,2021,-9.33,,41.86,19.96,17.91,-15.26,-33.16
sonata,2022,-8.49,,7.98,2.65,-42.02,31.37,-23.62
sonata,2023,7.45,,-3.17,-0.11,-10.68,-6.3,-138.02
sonata,2024,-1.07,-93.55,27.65,18.75,-54.55,62.82,249.06
sonata,2025,-10.14,-100.0,13.67,7.52,9.65,-40.42,-88.81
sonata,2026,162.39,,1.56,36.29,121.86,30.39,-301.59
supreme-ind,2004,,,,,,,
supreme-ind,2005,11.24,19.47,4.72,8.71,-13.66,12.2,-76.09
supreme-ind,2006,27.01,-3.67,-5.06,14.91,59.8,69.04,602.12
supreme-ind,2007,25.2,-3.86,12.96,21.44,39.35,25.5,71.31
supreme-ind,2008,32.6,31.53,10.69,26.35,33.37,1.91,-33.53
supreme-ind,2009,-0.84,-17.18,14.95,3.11,87.97,90.55,78.45
supreme-ind,2010,3.54,-7.91,31.28,11.27,21.4,48.71,-22.83
supreme-ind,2011,26.63,95.25,29.45,27.56,25.07,20.81,16.76
supreme-ind,2012,-14.58,-43.27,31.03,0.64,35.61,37.46,72.87
supreme-ind,2013,38.09,61.14,25.11,32.45,13.61,13.23,37.52
supreme-ind,2014,-1.35,-5.94,20.24,7.51,7.32,3.31,-19.35
supreme-ind,2015,0.69,-14.5,16.44,7.92,8.19,12.2,84.38
supreme-ind,2016,-3.79,-30.44,8.73,2.41,-33.81,-32.5,-50.36
supreme-ind,2017,0.82,1.24,27.16,14.67,74.12,77.99,55.67
supreme-ind,2018,-6.29,0.35,11.56,4.12,1.99,7.98,9.23
supreme-ind,2019,3.39,-30.25,14.98,10.63,10.11,12.57,9.83
supreme-ind,2020,22.22,153.57,7.02,12.35,-7.73,7.67,-3.17
supreme-ind,2021,-15.38,-99.85,34.54,15.49,70.29,61.44,130.95
supreme-ind,2022,3.5,560.66,18.08,14.0,-5.5,1.31,-62.18
supreme-ind,2023,12.18,-100.0,13.48,13.15,-7.51,-5.84,89.19
supreme-ind,2024,11.88,,17.0,15.71,33.48,32.92,58.5
supreme-ind,2025,4.18,,10.84,9.22,-14.08,-11.75,-28.94
supreme-ind,2026,7.8,,9.35,8.99,4.79,1.62,21.97
supreme-ind (1),2004,,,,,,,
supreme-ind (1),2005,,,,,,,-76.09
supreme-ind (1),2006,,,,,,,602.12
supreme-ind (1),2007,,,,,,,71.31
supreme-ind (1),2008,,,,,,,-33.53
supreme-ind (1),2009,,,,,,,78.45
supreme-ind (1),2010,,,,,,,-22.83
supreme-ind (1),2011,,,,,,,16.76
supreme-ind (1),2012,,,,,,,72.87
supreme-ind (1),2013,,,,,,,37.52
supreme-ind (1),2014,,,,,,,-19.35
supreme-ind (1),2015,,,,,,,84.38
supreme-ind (1),2016,,,,,,,-50.36
supreme-ind (1),2017,,,,,,,55.67
supreme-ind (1),2018,,,,,,,9.23
supreme-ind (1),2019,,,,,,,9.83
supreme-ind (1),2020,,,,,,,-3.17
supreme-ind (1),2021,,,,,,,130.95
supreme-ind (1),2022,,,,,,,-62.18
supreme-ind (1),2023,,,,,,,89.19
supreme-ind (1),2024,,,,,,,58.5
supreme-ind (1),2025,,,,,,,-28.94
supreme-ind (1),2026,,,,,,,21.97
supreme-ind (2),2004,,,,,,,
supreme-ind (2),2005,,,,,,,-76.09
supreme-ind (2),2006,,,,,,,602.12
supreme-ind (2),2007,,,,,,,71.31
supreme-ind (2),2008,,,,,,,-33.53
supreme-ind (2),2009,,,,,,,78.45
supreme-ind (2),2010,,,,,,,-22.83
supreme-ind (2),2011,,,,,,,16.76
supreme-ind (2),2012,,,,,,,72.87
supreme-ind (2),2013,,,,,,,37.52
supreme-ind (2),2014,,,,,,,-19.35
supreme-ind (2),2015,,,,,,,84.38
supreme-ind (2),2016,,,,,,,-50.36
supreme-ind (2),2017,,,,,,,55.67
supreme-ind (2),2018,,,,,,,9.23
supreme-ind (2),2019,,,,,,,9.83
supreme-ind (2),2020,,,,,,,-3.17
supreme-ind (2),2021,,,,,,,130.95
supreme-ind (2),2022,,,,,,,-62.18
supreme-ind (2),2023,,,,,,,89.19
supreme-ind (2),2024,,,,,,,58.5
supreme-ind (2),2025,,,,,,,-28.94
supreme-ind (2),2026,,,,,,,21.97
symphony,2004,,,,,,,
symphony,2005,-0.25,-6.06,77.01,-20.69,110.53,118.99,
symphony,2006,-22.58,-68.44,-40.62,-11.93,31.75,-22.45,-19.52
symphony,2007,9.15,57.56,-40.19,28.87,-142.5,-170.72,-168.09
symphony,2008,49.59,-55.74,-365.62,126.21,614.29,461.86,-1377.5
symphony,2009,-3.81,-91.55,503.65,106.28,124.38,258.03,92.56
symphony,2010,-21.38,-66.67,68.0,35.37,46.49,-14.61,-44.49
symphony,2011,7.59,70.0,42.69,35.23,16.71,21.66,-83.84
symphony,2012,125.76,4270.59,22.75,40.13,1.16,12.04,2376.77
symphony,2013,6.46,-100.0,23.9,19.15,22.5,24.51,-31.19
symphony,2014,50.76,,24.41,30.82,58.77,57.74,36.39
symphony,2015,3.97,,24.68,18.89,9.61,17.75,42.57
symphony,2016,-40.25,,6.12,-5.23,13.38,5.66,-30.65
symphony,2017,48.59,,50.75,50.42,35.97,41.98,22.46
symphony,2018,-2.22,,29.97,25.07,5.67,4.76,19.27
symphony,2019,22.47,,10.85,12.23,-50.5,-44.8,50.04
symphony,2020,-2.67,,-2.99,-2.95,81.42,84.07,-33.97
symphony,2021,24.49,,17.22,18.17,-42.42,-39.57,-14.12
symphony,2022,53.55,,8.66,14.83,-1.89,-1.37,-92.15
symphony,2023,0.78,-45.68,10.36,8.6,56.14,48.72,1620.61
symphony,2024,-2.7,-100.0,-15.09,-12.98,-13.84,-7.14,42.96
symphony,2025,50.78,,-0.46,9.3,31.66,14.94,30.21
symphony,2026,-38.86,,-32.54,-34.2,-195.65,-194.46,-93.61
tata-steel,2004,,,,,,,
tata-steel,2005,-9.32,-18.78,56.34,10.26,99.24,98.95,30.96
tata-steel,2006,-2.13,-8.16,38.18,14.91,-3.1,0.93,-4.86
tata-steel,2007,90.09,283.34,42.99,66.9,17.52,20.41,40.94
tata-steel,2008,54.96,86.84,95.72,72.01,20.89,11.01,22.2
tata-steel,2009,39.85,49.52,8.81,24.46,14.19,10.98,18.28
tata-steel,2010,-4.13,-6.33,25.13,8.55,-4.64,-2.98,13.14
tata-steel,2011,10.38,-2.34,26.3,20.35,40.42,36.04,-0.36
tata-steel,2012,0.46,-13.1,12.09,7.41,-0.8,-2.47,22.99
tata-steel,2013,7.5,10.35,4.92,5.91,-19.13,-24.39,7.92
tata-steel,2014,7.27,0.91,10.76,8.99,21.96,26.65,12.32
tata-steel,2015,-1.85,0.35,9.02,4.18,-7.86,0.42,-60.98
tata-steel,2016,7.96,19.99,5.72,6.51,-62.67,-23.89,55.97
tata-steel,2017,17.99,-2.73,-29.54,-9.53,106.46,-29.72,47.56
tata-steel,2018,3.01,-9.65,23.87,12.24,13.81,21.05,5.6
tata-steel,2019,5.62,5.63,14.53,9.9,91.66,152.62,28.85
tata-steel,2020,13.56,47.19,5.83,9.38,-44.5,-35.98,-11.45
tata-steel,2021,15.98,-17.1,26.61,20.01,142.43,153.24,179.14
tata-steel,2022,13.18,-0.78,32.87,22.99,102.85,93.3,11.8
tata-steel,2023,2.53,18.29,7.47,5.32,-52.7,-53.06,-66.12
tata-steel,2024,9.04,6.23,2.15,5.07,-52.4,-68.97,92.09
tata-steel,2025,18.03,47.15,-7.96,3.46,102.49,190.59,-12.62
tata-steel,2026,7.7,8.42,6.94,7.32,17.35,15.0,33.84
tci-finance,2004,,,,,,,
tci-finance,2005,,,,,,,561.4
tci-finance,2006,,,,,,,-66.05
tci-finance,2007,,,,,,,-17.97
tci-finance,2008,,,,,,,-561.9
tci-finance,2009,,,,,,,-72.37
tci-finance,2010,,,,,,,-82.09
tci-finance,2011,,,,,,,2791.67
tci-finance,2012,,,,,,,-160.37
tci-finance,2013,,,,,,,-69.69
tci-finance,2014,,,,,,,2906.3
tci-finance,2015,,,,,,,-173.44
tci-finance,2016,,,,,,,-54.92
tci-finance,2017,,,,,,,-125.0
tci-finance,2018,,,,,,,2.85
tci-finance,2019,,,,,,,343.38
tci-finance,2020,,,,,,,-258.71
tci-finance,2021,,,,,,,-107.39
tci-finance,2022,,,,,,,-1437.28
tci-finance,2023,,,,,,,-143.36
tci-finance,2024,,,,,,,-61.94
tci-finance,2025,,,,,,,14.21
tci-finance,2026,,,,,,,-140.61
tcs,2004,,,,,,,
tcs,2005,135.43,-67.8,6954.06,625.39,-261620.69,11964.69,309117.19
tcs,2006,26.79,-70.6,68.9,56.22,35.37,48.35,18.47
tcs,2007,49.08,42.93,43.67,44.99,28.51,38.29,51.48
tcs,2008,37.88,-64.03,36.55,36.89,15.38,20.0,7.79
tcs,2009,36.54,121.21,22.19,25.82,22.7,4.16,27.33
tcs,2010,43.58,-11.47,12.42,20.98,10.61,19.64,28.53
tcs,2011,-11.64,1.65,29.52,16.1,32.72,34.73,-8.7
tcs,2012,45.47,164.88,26.95,31.55,30.05,44.99,-44.5
tcs,2013,11.14,69.51,31.0,25.55,26.23,16.49,188.44
tcs,2014,29.69,-45.02,35.29,33.93,51.47,44.49,41.33
tcs,2015,30.23,179.04,3.1,9.48,-1.42,4.23,26.1
tcs,2016,-29.72,-34.87,43.15,22.76,26.94,19.83,10.21
tcs,2017,-5.39,49.69,20.01,15.94,-0.32,2.5,28.61
tcs,2018,29.43,-9.84,-2.76,1.45,2.52,6.71,-6.68
tcs,2019,35.63,-100.0,4.0,9.27,27.1,19.11,11.17
tcs,2020,48.56,,-5.74,5.5,4.22,10.63,10.86
tcs,2021,13.0,,0.57,4.2,4.0,-6.92,27.14
tcs,2022,27.48,,3.18,10.86,18.55,23.34,6.82
tcs,2023,2.72,,-3.41,-1.18,10.14,2.41,2.5
tcs,2024,8.26,,-3.24,1.1,8.38,11.39,5.71
tcs,2025,16.61,,4.85,9.61,5.31,10.33,4.28
tcs,2026,12.98,,11.98,12.41,0.34,2.16,11.71
tech-mahindra,2004,,,,,,,
tech-mahindra,2005,36.7,,10.91,16.71,34.41,-27.41,539.53
tech-mahindra,2006,130.73,,23.83,51.97,60.17,209.64,-47.85
tech-mahindra,2007,73.54,,46.85,57.53,211.08,-54.94,-97.57
tech-mahindra,2008,42.97,80.44,39.91,41.25,14.4,245.03,6372.22
tech-mahindra,2009,-11.82,-100.0,53.12,24.18,52.9,188.31,472.39
tech-mahindra,2010,152.85,,52.4,112.1,-17.14,-24.71,17.68
tech-mahindra,2011,22.45,-13.49,18.05,4.18,-16.5,-6.21,-66.68
tech-mahindra,2012,7.63,-4.74,1.75,4.36,-22.37,-33.89,41.39
tech-mahindra,2013,5.98,-1.96,21.47,14.39,66.41,41.66,-3.41
tech-mahindra,2014,59.92,-99.55,105.35,103.06,218.61,311.57,101.37
tech-mahindra,2015,-7.9,-100.0,31.06,15.45,-13.51,-15.99,59.83
tech-mahindra,2016,29.49,,20.4,21.35,1.9,42.72,39.37
tech-mahindra,2017,-4.32,1.93,24.62,14.93,6.32,-5.36,15.59
tech-mahindra,2018,7.4,-16.76,15.69,12.92,6.46,31.24,0.78
tech-mahindra,2019,40.39,-97.03,5.66,13.21,38.92,9.53,8.22
tech-mahindra,2020,-19.42,-100.0,7.88,-0.06,-32.76,3.52,-34.5
tech-mahindra,2021,4.55,,12.29,10.07,53.92,-6.51,187.85
tech-mahindra,2022,11.18,,3.34,4.88,3.37,15.9,-56.66
tech-mahindra,2023,36.67,,-3.96,2.94,-18.0,-23.11,38.15
tech-mahindra,2024,-5.25,,-6.66,-3.81,-60.61,-43.65,22.02
tech-mahindra,2025,22.09,,-3.23,4.38,118.32,64.71,-14.23
tech-mahindra,2026,22.48,,-3.11,5.85,42.37,10.07,7.0
transport-corp,2004,,,,,,,
transport-corp,2005,19.41,16.39,7.01,13.35,22.54,36.29,
transport-corp,2006,26.18,17.74,32.06,30.05,85.72,160.54,
transport-corp,2007,63.28,93.31,18.17,40.65,38.8,14.02,
transport-corp,2008,6.39,4.79,39.95,19.63,11.16,-7.0,
transport-corp,2009,9.63,1.69,8.34,9.03,19.54,-0.39,
transport-corp,2010,19.16,16.63,13.45,16.54,25.56,51.77,
transport-corp,2011,8.42,-6.61,-2.46,3.56,22.16,19.4,
transport-corp,2012,3.49,11.82,14.31,8.04,-0.71,1.01,
transport-corp,2013,6.61,2.36,12.34,9.16,-0.23,0.21,
transport-corp,2014,-5.97,-10.97,12.75,2.6,4.37,19.36,
transport-corp,2015,6.12,4.82,27.32,16.78,12.92,22.46,
transport-corp,2016,2.19,10.72,-12.31,-5.76,6.3,12.01,
transport-corp,2017,12.65,21.97,13.97,13.32,-22.34,-17.4,
transport-corp,2018,9.03,3.85,16.53,12.88,37.72,47.67,
transport-corp,2019,13.64,4.03,23.64,18.94,23.15,23.03,
transport-corp,2020,-8.62,-10.25,13.5,3.56,-13.66,-0.96,
transport-corp,2021,-18.81,-42.87,13.72,0.83,-0.09,6.61,
transport-corp,2022,-37.08,-79.21,21.54,2.83,94.01,98.43,
transport-corp,2023,6.07,31.01,19.4,16.79,2.1,13.49,
transport-corp,2024,13.83,60.79,17.86,17.14,-6.89,8.04,
transport-corp,2025,27.74,15.32,7.24,10.77,22.11,20.74,
transport-corp,2026,54.39,58.07,20.15,26.96,12.56,12.14,
triveni-engg,2004,,,,,,,
triveni-engg,2005,11.83,9.69,29.57,15.16,216.36,253.01,-355.45
triveni-engg,2006,-2.48,-10.55,173.14,34.58,18.0,109.77,27.72
triveni-engg,2007,113.69,148.77,30.51,78.08,-9.65,-42.61,59.37
triveni-engg,2008,11.58,16.69,13.25,12.1,39.08,47.85,-96.7
triveni-engg,2009,-6.56,-28.66,17.77,1.15,59.25,52.24,5558.68
triveni-engg,2010,-1.54,12.04,7.36,1.74,-63.24,-46.5,-99.53
triveni-engg,2011,-24.38,-25.46,4.11,-13.28,-36.91,-85.62,6584.52
triveni-engg,2012,13.14,22.99,-6.79,3.82,-79.54,-610.8,-109.17
triveni-engg,2014,64.08,18.33,-15.94,30.48,-162.06,129.02,-249.71
triveni-engg,2015,5.89,33.22,-23.87,-2.16,624.88,7.4,-674.58
triveni-engg,2016,4.85,14.49,-10.86,1.55,-198.59,-94.62,-30.12
triveni-engg,2017,-6.06,-1.83,41.76,2.78,397.83,-2745.07,-255.83
triveni-engg,2018,-8.28,-26.76,13.27,-2.79,-41.76,-53.01,333.24
triveni-engg,2019,27.31,44.76,22.41,25.86,23.46,100.98,-127.34
triveni-engg,2020,0.37,-13.79,17.84,5.41,69.08,48.48,-416.55
triveni-engg,2021,-25.18,-40.72,15.16,-12.16,-2.54,-16.54,55.05
triveni-engg,2022,13.35,81.88,21.25,16.7,18.04,39.83,-118.98
triveni-engg,2023,-25.4,-45.01,49.89,7.71,298.06,403.44,-370.52
triveni-engg,2024,25.61,61.06,8.72,15.28,-75.09,-79.65,-76.16
triveni-engg,2025,21.49,27.52,7.44,13.38,-31.42,-36.55,49.25
triveni-engg,2026,20.59,23.33,6.88,13.09,8.57,4.08,14.18
union-bank,2011,,,,,,,
union-bank,2012,,,,11.11,,,-186.43
union-bank,2013,,,,18.93,,,-105.53
union-bank,2014,,,,13.44,,,994.28
union-bank,2015,,,,7.87,,,-263.94
union-bank,2016,,,,6.05,,,-329.46
union-bank,2017,,,,11.86,,,-94.68
union-bank,2018,,,,7.67,,,1229.02
union-bank,2019,,,,1.36,,,-217.44
union-bank,2020,,,,11.47,,,4.08
union-bank,2021,,,,94.61,,,-371.06
union-bank,2022,,,,10.81,,,77.15
union-bank,2023,,,,7.84,,,-83.48
union-bank,2024,,,,8.68,,,239.7
union-bank,2025,,,,7.75,,,-14.23
union-bank,2026,,,,4.63,,,-326.11
v-guard-ind,2004,,,,,,,
v-guard-ind,2005,81.07,25.06,17.73,42.54,,,
v-guard-ind,2006,-30.56,-0.6,90.98,30.66,,,
v-guard-ind,2007,45.06,24.8,239.71,190.53,,,
v-guard-ind,2008,29.36,86.91,15.93,16.84,,,
v-guard-ind,2009,26.27,21.18,2.02,5.56,,,
v-guard-ind,2010,16.43,22.33,0.48,3.26,,,
v-guard-ind,2011,13.77,18.43,0.54,3.15,,,
v-guard-ind,2012,-12.71,-19.15,-14.74,-14.3,,,
v-guard-ind,2013,-10.43,-2.31,-63.18,-51.51,,,
v-guard-ind,2014,-7.48,-2.68,-93.58,-58.45,,,
v-guard-ind,2015,-0.26,-0.77,-42.78,-4.05,,,
v-guard-ind,2016,-6.6,-0.45,-1518.92,-89.05,,,
v-guard-ind,2017,0.22,0.0,1.97,-12.11,,,
v-guard-ind,2018,0.78,0.0,0.87,-0.51,,,
v-guard-ind,2019,0.61,0.0,0.68,0.0,,,
v-guard-ind,2020,1.04,0.58,1.16,0.0,,,
v-guard-ind,2021,-10.51,-13.41,0.06,-99.49,,,
v-guard-ind,2022,10.35,11.47,10.24,200.0,,,
v-guard-ind,2023,9.22,10.02,9.23,0.0,,,
vedanta,2004,,,,,,,
vedanta,2005,12.15,-78.73,129.55,81.01,366.32,368.09,230.93
vedanta,2006,28.64,-40.68,49.69,44.3,17.94,16.66,13.04
vedanta,2007,-8.53,-100.0,38.95,28.11,8.19,12.42,49.21
vedanta,2008,35.42,,85.29,77.16,151.48,146.04,123.71
vedanta,2009,55.29,,61.86,61.04,20.28,30.19,58.98
vedanta,2010,397.49,100727.23,59.56,100.17,-11.66,9.04,-3.57
vedanta,2011,-15.01,-49.56,60.76,38.13,74.22,62.07,47.8
vedanta,2012,88.77,270.54,11.43,25.64,-37.96,-51.06,-48.04
vedanta,2013,6.88,25.07,0.86,2.52,-92.49,-92.81,-108.34
vedanta,2014,846.32,650.15,158.59,356.54,267.07,791.02,-2307.61
vedanta,2015,-10.71,3.3,1.13,-5.94,434.5,79.09,49.71
vedanta,2016,132.45,-12.23,132.43,132.54,-766.33,-717.8,132.17
vedanta,2017,-16.41,19.39,0.77,-9.0,-120.71,-192.97,-17.33
vedanta,2018,-24.96,-17.61,3.2,-11.44,85.57,-34.45,-59.59
vedanta,2019,12.55,25.16,-5.39,2.51,-72.43,-30.06,134.08
vedanta,2020,-4.7,4.98,-10.25,-7.57,-492.05,-232.65,-6.49
vedanta,2021,-12.38,-29.05,9.86,-1.23,-159.06,-256.02,-16.0
vedanta,2022,17.02,30.68,1.12,8.15,143.95,64.19,107.77
vedanta,2023,27.57,14.52,-12.67,6.6,-29.71,58.63,-0.58
vedanta,2024,-6.59,0.5,-3.36,-5.21,36.82,-75.79,8.36
vedanta,2025,-0.45,1.39,15.05,6.3,6.98,170.69,25.68
vedanta,2026,17.43,-75.13,3.51,10.87,-71.34,-1.13,-15.87
voltas,2004,,,,,,,
voltas,2005,14.04,27.84,2.39,11.64,-214.79,29.16,-291.72
voltas,2006,12.63,-32.32,24.75,14.91,83.89,39.83,11.81
voltas,2007,25.05,14.07,57.72,31.73,91.11,163.98,-96.61
voltas,2008,25.17,-41.96,41.38,29.14,139.36,11.98,20733.13
voltas,2009,49.39,169.44,35.42,45.64,3.42,21.22,-83.49
voltas,2010,-3.58,-85.14,36.52,6.42,54.49,36.28,409.5
voltas,2011,19.33,392.19,27.78,22.04,24.09,2.7,-97.02
voltas,2012,-4.59,89.32,7.23,-0.63,-74.23,-57.04,-3431.87
voltas,2013,6.43,19.22,8.72,7.26,46.62,18.57,-125.68
voltas,2014,-2.07,-8.77,7.78,1.54,-21.26,0.78,350.14
voltas,2015,-4.12,-72.56,15.12,3.36,112.69,81.41,-33.77
voltas,2016,-0.73,125.2,13.0,5.22,3.49,1.11,39.23
voltas,2017,9.24,-42.19,43.59,25.21,26.42,46.05,-5.63
voltas,2018,13.41,-59.73,17.73,15.71,15.21,3.09,2.74
voltas,2019,3.9,308.48,6.52,5.32,-13.68,-7.33,-203.96
voltas,2020,11.06,-22.21,12.69,11.96,45.84,28.12,-186.95
voltas,2021,-12.45,15.2,18.17,4.47,-6.65,-4.17,111.79
voltas,2022,21.92,23.76,11.72,15.54,14.51,2.31,17.07
voltas,2023,-10.39,126.34,21.63,8.96,123.91,140.85,-94.72
voltas,2024,30.66,41.83,10.71,17.2,-64.92,-57.0,1088.18
voltas,2025,7.21,39.68,8.45,8.0,39.85,28.55,-94.36
voltas,2026,31.52,39.85,-2.07,10.03,-70.92,-56.1,-649.13
welspun-corp,2004,,,,,,,
welspun-corp,2005,220.14,132.83,35.75,153.44,-78.15,-53.0,-20.53
welspun-corp,2006,48.73,108.67,68.95,53.1,419.74,81.41,-89.27
welspun-corp,2007,46.23,88.69,30.7,42.77,92.9,131.99,-324.32
welspun-corp,2008,40.44,19.05,130.33,60.43,121.4,145.82,-996.73
welspun-corp,2009,67.85,20.56,3.68,47.01,-20.9,-33.7,373.96
welspun-corp,2010,-35.09,-8.96,77.83,-12.71,126.72,132.79,-114.7
welspun-corp,2011,28.86,34.45,11.16,21.81,-37.97,-32.53,-627.59
welspun-corp,2012,27.71,-3.16,17.77,33.46,-82.65,-82.18,-15.57
welspun-corp,2013,-10.13,5.68,22.47,-5.94,-17.0,-18.25,-106.18
welspun-corp,2014,-32.56,-22.74,-55.63,-42.33,-75.04,-133.04,-862.88
welspun-corp,2015,26.59,-1.79,-4.31,16.53,84.67,-10.43,-34.43
welspun-corp,2016,-20.71,-13.41,-1.82,-15.66,-275.85,494.27,25.76
welspun-corp,2017,10.42,-22.52,-1.41,6.74,-468.02,-287.02,-17.29
welspun-corp,2018,-19.92,-56.31,5.86,-12.51,-18.08,-27.94,197.52
welspun-corp,2019,-23.11,17.58,-14.55,-20.13,-185.76,-320.32,-69.92
welspun-corp,2020,19.88,6.84,-4.68,10.74,-189.19,-196.73,-93.21
welspun-corp,2021,-25.52,-30.19,73.41,6.2,211.4,279.67,2240.9
welspun-corp,2022,22.83,80.73,25.87,24.4,-62.43,-52.29,-48.9
welspun-corp,2023,13.76,56.18,1.95,7.51,199.49,8.84,-267.3
welspun-corp,2024,21.89,-16.9,2.64,12.23,-42.73,-9.89,-297.19
welspun-corp,2025,-8.52,-67.29,20.4,4.87,245.16,76.7,56.93
welspun-corp,2026,1.89,2.43,20.12,11.39,-2.39,20.41,-19.46
whirlpool,2004,,,,,,,
whirlpool,2005,6.44,0.11,-50.96,-5.29,,,-348.88
whirlpool,2006,-17.3,-40.52,118.08,-2.97,,,371.78
whirlpool,2007,5.44,-6.84,-2.72,3.5,,,105.43
whirlpool,2008,13.66,-8.46,15.6,14.09,,,-1.54
whirlpool,2009,-17.92,-47.14,28.6,-7.38,,,117.42
whirlpool,2010,21.83,-99.86,20.59,21.44,,,2.68
whirlpool,2011,10.45,-100.0,15.18,11.93,,,8.76
whirlpool,2012,-21.8,,16.05,-9.63,,,3.78
whirlpool,2013,10.08,,25.98,16.64,,,-32.43
whirlpool,2014,8.04,,19.84,13.3,,,41.43
whirlpool,2015,12.56,,23.74,17.84,,,47.3
whirlpool,2016,16.33,,27.29,21.76,,,14.62
whirlpool,2017,28.33,,27.22,27.76,,,11.57
whirlpool,2018,2.61,,21.12,12.16,,,0.18
whirlpool,2019,9.58,,19.28,14.98,,,4.75
whirlpool,2020,14.71,,18.86,17.11,,,-5.53
whirlpool,2021,21.89,,10.85,15.42,,,37.85
whirlpool,2022,-6.69,,5.53,0.19,,,-82.09
whirlpool,2023,5.07,,4.28,4.6,,,101.36
whirlpool,2024,-0.63,,3.8,1.99,,,182.78
whirlpool,2025,22.18,,8.18,13.76,,,-3.83
whirlpool,2026,15.38,,5.03,9.46,,,-54.75
whirlpool (1),2004,,,,,,,
whirlpool (1),2005,,,,,,,-348.88
whirlpool (1),2006,,,,,,,371.78
whirlpool (1),2007,,,,,,,105.43
whirlpool (1),2008,,,,,,,-1.54
whirlpool (1),2009,,,,,,,117.42
whirlpool (1),2010,,,,,,,2.68
whirlpool (1),2011,,,,,,,8.76
whirlpool (1),2012,,,,,,,3.78
whirlpool (1),2013,,,,,,,-32.43
whirlpool (1),2014,,,,,,,41.43
whirlpool (1),2015,,,,,,,47.3
whirlpool (1),2016,,,,,,,14.62
whirlpool (1),2017,,,,,,,11.57
whirlpool (1),2018,,,,,,,0.18
whirlpool (1),2019,,,,,,,4.75
whirlpool (1),2020,,,,,,,-5.53
whirlpool (1),2021,,,,,,,37.85
whirlpool (1),2022,,,,,,,-82.09
whirlpool (1),2023,,,,,,,101.36
whirlpool (1),2024,,,,,,,182.78
whirlpool (1),2025,,,,,,,-3.83
whirlpool (1),2026,,,,,,,-54.75
wipro,2004,,,,,,,
wipro,2005,0.86,-38.33,39.48,26.5,,,82.34
wipro,2006,57.97,-19.23,31.23,38.5,,,14.75
wipro,2007,40.99,374.48,45.11,43.77,,,39.87
wipro,2008,114.01,1506.05,24.0,51.44,,,-73.23
wipro,2009,44.65,31.17,8.32,23.44,,,506.86
wipro,2010,1.99,10.3,41.37,21.78,,,3.06
wipro,2011,1.3,-14.82,20.52,12.5,,,-17.11
wipro,2012,11.28,11.3,14.22,13.12,,,-19.22
wipro,2013,15.68,-22.83,-0.51,5.47,,,104.12
wipro,2014,-0.58,11.48,21.16,12.36,,,7.67
wipro,2015,14.69,33.77,17.94,16.77,,,16.92
wipro,2016,-5.79,10.98,19.08,10.33,,,-13.2
wipro,2017,-7.05,-7.93,13.29,7.18,,,10.23
wipro,2018,-0.26,-23.44,-9.51,-7.1,,,-12.21
wipro,2019,7.3,7.5,16.87,14.19,,,57.78
wipro,2020,7.08,-0.93,-5.95,-2.52,,,-11.19
wipro,2021,8.71,15.48,-2.61,0.66,,,40.36
wipro,2022,27.02,32.28,20.13,22.28,,,-43.11
wipro,2023,-13.39,-32.54,15.48,6.13,,,54.57
wipro,2024,5.86,-19.41,-7.94,-4.29,,,27.02
wipro,2025,22.09,44.91,8.86,12.73,,,-7.46
wipro,2026,15.52,1.65,1.24,5.76,,,-27.24
wipro (1),2004,,,,,,,
wipro (1),2005,,,,,,,82.34
wipro (1),2006,,,,,,,14.75
wipro (1),2007,,,,,,,39.87
wipro (1),2008,,,,,,,-73.23
wipro (1),2009,,,,,,,506.86
wipro (1),2010,,,,,,,3.06
wipro (1),2011,,,,,,,-17.11
wipro (1),2012,,,,,,,-19.22
wipro (1),2013,,,,,,,104.12
wipro (1),2014,,,,,,,7.67
wipro (1),2015,,,,,,,16.92
wipro (1),2016,,,,,,,-13.2
wipro (1),2017,,,,,,,10.23
wipro (1),2018,,,,,,,-12.21
wipro (1),2019,,,,,,,57.78
wipro (1),2020,,,,,,,-11.19
wipro (1),2021,,,,,,,40.36
wipro (1),2022,,,,,,,-43.11
wipro (1),2023,,,,,,,54.57
wipro (1),2024,,,,,,,27.02
wipro (1),2025,,,,,,,-7.46
wipro (1),2026,,,,,,,-27.24
yes-bank,2011,,,,,,,
yes-bank,2012,,,,24.77,,,-179.38
yes-bank,2013,,,,34.61,,,-122.32
yes-bank,2014,,,,10.0,,,722.9
yes-bank,2015,,,,24.91,,,-132.57
yes-bank,2016,,,,21.37,,,-74.94
yes-bank,2017,,,,30.13,,,-1305.74
yes-bank,2018,,,,45.28,,,-599.65
yes-bank,2019,,,,21.89,,,12.72
yes-bank,2020,,,,-32.3,,,133.73
yes-bank,2021,,,,6.1,,,-187.02
yes-bank,2022,,,,16.33,,,-52.9
yes-bank,2023,,,,11.49,,,-208.48
yes-bank,2024,,,,14.29,,,-137.45
yes-bank,2025,,,,4.42,,,-36.83
yes-bank,2026,,,,10.79,,,249.95
